id,inscritos,votantes,brancos,nulos,validos,0,1,2,3,4,5,6,7,8,9
150100,"10,865","5,522",52,39,"5,431",24,"1,933",17,942,12,123,619,218,"1,483",60
150200,"14,358","7,736",109,48,"7,579",58,"2,161",14,633,22,183,873,291,"3,183",161
150300,"148,963","76,677",846,746,"75,085",534,"23,090",99,"5,957",164,"1,440","9,083","3,103","29,762","1,853"
150400,"69,181","37,346",336,359,"36,651",188,"12,437",74,"5,304",80,712,"4,797","1,541","10,831",687
150500,"12,261","6,216",55,35,"6,126",43,"1,952",20,975,23,112,753,219,"1,939",90
150600,"58,206","28,289",287,268,"27,734",158,"8,241",52,"4,356",82,763,"4,174","1,205","8,173",530
150700,"42,124","19,215",242,160,"18,813",134,"4,773",32,"1,144",41,515,"2,364",755,"8,533",522
150800,"52,321","25,749",296,236,"25,217",197,"6,800",57,"2,048",67,667,"3,545","1,146","10,065",625
150900,"24,819","12,765",138,100,"12,527",86,"3,572",38,"1,518",41,307,"1,492",553,"4,615",305
151000,"135,196","69,283",854,737,"67,692",366,"20,135",96,"5,751",138,"1,682","8,589","2,982","26,345","1,608"
151100,"42,558","20,384",194,222,"19,968",121,"5,318",33,"1,373",47,609,"2,844",799,"8,374",450
151200,"103,553","49,743",517,352,"48,874",346,"14,149",77,"3,431",112,"1,006","6,377","2,152","20,040","1,184"
151300,"12,063","5,541",59,49,"5,433",30,"1,553",16,498,14,173,816,240,"1,957",136
160100,"28,063","10,218",111,64,"10,043",111,"1,799",32,99,24,336,637,415,"6,433",157
160200,"16,925","8,141",103,62,"7,976",49,"2,492",25,140,18,340,595,258,"3,869",190
160300,"11,708","3,396",44,23,"3,329",28,740,6,28,13,140,192,214,"1,921",47
160400,"20,761","8,231",119,62,"8,050",59,"1,797",31,68,16,329,449,253,"4,949",99
160500,"9,541","3,753",60,21,"3,672",40,904,11,42,13,175,334,155,"1,957",41
160600,"14,283","5,616",70,48,"5,498",55,"1,129",19,51,13,179,374,308,"3,311",59
160700,"42,829","22,277",261,209,"21,807",171,"3,467",41,300,70,856,"1,355",520,"14,619",408
160800,"13,614","5,756",68,36,"5,652",29,"1,556",14,48,9,167,319,122,"3,327",61
160900,"86,608","42,561",567,389,"41,605",321,"10,664",81,961,143,"1,575","4,014","1,246","21,074","1,526"
161000,"8,828","4,221",51,34,"4,136",31,"1,065",15,32,9,159,271,195,"2,284",75
170100,"12,588","5,560",55,72,"5,433",41,"1,174",15,87,11,206,425,280,"3,156",38
170200,"7,884","3,199",25,30,"3,144",22,417,7,43,2,63,113,109,"2,355",13
170300,"45,388","18,160",193,202,"17,765",146,"3,241",49,231,35,509,"1,306",588,"11,405",255
170400,"4,051","1,789",16,14,"1,759",15,369,6,15,5,66,146,74,"1,041",22
170500,"8,534","3,596",15,13,"3,568",30,516,8,48,7,90,189,89,"2,565",26
170600,"15,141","4,996",53,29,"4,914",53,"1,210",21,31,12,114,251,266,"2,904",52
170700,"6,970","2,857",33,37,"2,787",23,539,9,24,9,90,176,106,"1,784",27
170800,"16,367","6,794",58,52,"6,684",52,"1,616",11,167,11,194,501,321,"3,725",86
170900,"8,802","2,887",14,21,"2,852",31,587,10,32,4,72,129,131,"1,824",32
171000,"6,802","2,943",29,31,"2,883",14,596,11,43,7,152,202,191,"1,636",31
171100,"7,719","3,354",41,26,"3,287",20,771,7,37,9,104,224,265,"1,826",24
